,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,duration,launch_month,launch_quarter,deadline_month,deadline_quarter,launch_hour,title_length,title_words,title_symbols,backers_exist,pledged_per_backer,good_country,exchange_rate,usd_pledged_new
1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,2013-12-30,20000.0,2013-11-25 07:06:11,34268.0,1,624,US,34268.0,34268.0,20000.0,34,11,4,12,4,7,37,7,0,True,54.916666666666664,US,1.0,34268.0
1000081649,MikeyJ clothing brand fundraiser,Childrenswear,Fashion,AUD,2017-09-07,2500.0,2017-08-08 01:20:20,1.0,0,1,AU,0.0,0.81,2026.1,29,8,3,9,3,1,32,4,0,True,1.0,AU,0.69,0.69
1000082254,Alice in Wonderland in G Minor,Theater,Theater,USD,2014-06-15,3500.0,2014-05-16 10:10:38,650.0,0,12,US,650.0,650.0,3500.0,29,5,2,6,2,10,30,6,0,True,54.166666666666664,US,1.0,650.0
1000091520,The Book Zoo - A Mini-Comic,Comics,Comics,USD,2014-11-12,175.0,2014-10-23 17:15:50,701.66,1,66,US,701.66,701.66,175.0,19,10,4,11,4,17,27,6,0,True,10.631212121212121,US,1.0,701.66
1000103948,Superhero Teddy Bear,DIY,Crafts,GBP,2016-01-05,12000.0,2015-12-06 20:09:06,0.0,0,0,GB,0.0,0.0,17489.65,29,12,4,1,1,20,20,3,0,False,0.0,GB,1.26,0.0
1000104688,Permaculture Skills,Webseries,Film & Video,CAD,2014-12-14,17757.0,2014-11-14 18:02:00,48905.0,1,571,CA,43203.25,42174.03,15313.04,29,11,4,12,4,18,19,2,0,True,85.64798598949211,CA,0.75,36678.75
100011318,My Moon - Animated Short Film,Animation,Film & Video,USD,2017-05-03,50000.0,2017-04-03 17:11:33,57577.31,1,840,US,10120.0,57577.31,50000.0,29,4,2,5,2,17,29,6,0,True,68.54441666666666,US,1.0,57577.31
1000115172,Daily Brew Coffee,Food Trucks,Food,GBP,2015-03-31,3500.0,2015-03-01 18:06:32,21.0,0,1,GB,32.42,31.09,5181.12,29,3,1,3,1,18,17,3,0,True,21.0,GB,1.26,26.46
1000117861,Ledr workbook: one tough journal!,Product Design,Design,USD,2016-10-08,1000.0,2016-09-07 13:14:26,47266.0,1,549,US,11253.0,47266.0,1000.0,30,9,3,10,4,13,33,5,1,True,86.09471766848816,US,1.0,47266.0
1000120287,BB130A,Public Art,Art,USD,2013-03-24,25000.0,2013-02-12 01:07:28,1395.0,0,30,US,1395.0,1395.0,25000.0,39,2,1,3,1,1,6,1,0,True,46.5,US,1.0,1395.0
1000132945,Zen in America: a film on Zen Buddhism in North America,Documentary,Film & Video,USD,2013-10-21,10000.0,2013-09-21 23:00:54,15663.0,1,213,US,15663.0,15663.0,10000.0,29,9,3,10,4,23,55,11,0,True,73.53521126760563,US,1.0,15663.0
1000134913,Galaxy: Winnie and Friends,Illustration,Art,USD,2016-01-27,3000.0,2015-12-23 21:47:29,17.0,0,2,US,17.0,17.0,3000.0,34,12,4,1,1,21,26,4,0,True,8.5,US,1.0,17.0
1000160286,"""THE RETURN"" book project",Photography,Photography,USD,2013-12-13,15000.0,2013-11-13 00:34:20,23907.0,1,232,US,23907.0,23907.0,15000.0,29,11,4,12,4,0,25,4,0,True,103.04741379310344,US,1.0,23907.0
1000171141,"The Please, Please Me: Studio Premiere",Pop,Music,USD,2012-09-01,10000.0,2012-07-15 03:27:33,12656.0,1,181,US,12656.0,12656.0,10000.0,47,7,3,9,3,3,38,6,0,True,69.92265193370166,US,1.0,12656.0
100020143,H2O The Underwater Portraits,People,Photography,USD,2017-10-30,9500.0,2017-09-25 17:17:43,6.0,0,2,US,5.0,6.0,9500.0,34,9,3,10,4,17,28,4,0,True,3.0,US,1.0,6.0
1000202062,SkateFrames-Photo frame made from recycled skateboard wood,Art,Art,USD,2015-05-08,7500.0,2015-04-08 02:53:18,3.0,0,3,US,3.0,3.0,7500.0,29,4,2,5,2,2,58,7,0,True,1.0,US,1.0,3.0
1000216800,Mothers Into Living Fit Yoga DVD for Moms and Babies,Family,Film & Video,USD,2014-06-19,11000.0,2014-05-20 17:18:29,11055.0,1,51,US,11055.0,11055.0,11000.0,29,5,2,6,2,17,52,10,0,True,216.76470588235293,US,1.0,11055.0
1000226576,Following the Call - A Novel,Fiction,Publishing,USD,2016-02-01,13500.0,2016-01-02 08:06:07,0.0,0,0,US,0.0,0.0,13500.0,29,1,1,2,1,8,28,6,0,False,0.0,US,1.0,0.0
1000227361,UNDERWATER,Film & Video,Film & Video,USD,2012-03-26,9500.0,2012-02-13 19:00:37,9660.0,1,121,US,9660.0,9660.0,9500.0,41,2,1,3,1,19,10,1,0,True,79.83471074380165,US,1.0,9660.0
1000234595,Fashion removeable decoration jewel accessory hells shoes,Accessories,Fashion,EUR,2016-10-13,12000.0,2016-09-13 11:59:57,137.0,0,2,IT,0.0,150.73,13202.34,29,9,3,10,4,11,57,7,0,True,68.5,AT,1.12,153.44000000000003
1000243793,"""JurassicJurassix"" by The Guilt",Rock,Music,USD,2015-04-09,850.0,2015-02-23 00:10:28,485.0,0,13,US,485.0,485.0,850.0,44,2,1,4,2,0,31,4,0,True,37.30769230769231,US,1.0,485.0
1000245024,Safer Home,Hardware,Technology,CAD,2015-07-03,50000.0,2015-06-03 05:52:43,0.0,0,0,CA,0.0,0.0,39739.31,29,6,2,7,3,5,10,2,0,False,0.0,CA,0.75,0.0
1000256230,Shreddit - Privacy on Reddit,Software,Technology,GBP,2017-07-02,2000.0,2017-06-02 12:20:21,0.0,0,0,GB,0.0,0.0,2579.35,29,6,2,7,3,12,28,5,0,False,0.0,GB,1.26,0.0
1000257563,"""Flying"" Carpets from Azerbaijan, Iran and Turkey/Anatolia",Weaving,Crafts,GBP,2015-04-29,5000.0,2015-03-30 19:55:31,2.0,0,1,GB,2.98,3.09,7716.41,29,3,1,4,2,19,58,7,0,True,2.0,GB,1.26,2.52
1000261018,Diposta - liberating people from their postal mailbox.,Web,Technology,USD,2016-08-23,100000.0,2016-07-24 13:18:36,141.0,0,3,US,100.0,141.0,100000.0,29,7,3,8,3,13,54,8,0,True,47.0,US,1.0,141.0
1000268182,My Future Just Passed - Debut CD - Jazz Trio,Jazz,Music,USD,2014-12-03,4000.0,2014-11-03 21:11:44,4795.0,1,95,US,4795.0,4795.0,4000.0,29,11,4,12,4,21,44,10,0,True,50.473684210526315,US,1.0,4795.0
1000291263,"""It's Complicated"" by Ariana Salome",Ready-to-wear,Fashion,USD,2016-06-09,68000.0,2016-05-10 22:52:00,0.0,0,0,US,0.0,0.0,68000.0,29,5,2,6,2,22,35,5,0,False,0.0,US,1.0,0.0
1000294559,Secular Solstice 2014,Festivals,Theater,USD,2014-10-27,7500.0,2014-10-02 01:50:58,8157.01,1,164,US,8157.01,8157.01,7500.0,24,10,4,10,4,1,21,3,0,True,49.73786585365854,US,1.0,8157.01
1000328150,Legacy of Svarog | a Unique 3D Action RPG and Adventure Game,Video Games,Games,USD,2015-10-30,50000.0,2015-08-31 06:33:31,1410.0,0,38,US,1410.0,1410.0,50000.0,59,8,3,10,4,6,60,12,0,True,37.10526315789474,US,1.0,1410.0
1000335422,"""Where is Home?"" Anthology",Anthologies,Comics,CAD,2014-07-10,4000.0,2014-06-10 00:09:47,4944.5,1,153,CA,4523.37,4646.65,3759.05,29,6,2,7,3,0,26,4,1,True,32.31699346405229,CA,0.75,3708.375
1000338818,"Diet! No thanks, I'd rather lose weight",Publishing,Publishing,EUR,2016-10-30,10000.0,2016-08-31 18:13:01,88.0,0,9,DE,22.35,97.62,11092.99,59,8,3,10,4,18,39,7,1,True,9.777777777777779,AT,1.12,98.56
1000389241,Bob Contemplates Ending It All,Shorts,Film & Video,USD,2014-01-27,3000.0,2013-12-18 20:54:02,3755.0,1,52,US,3755.0,3755.0,3000.0,39,12,4,1,1,20,30,5,0,True,72.21153846153847,US,1.0,3755.0
100039820,Best Spray Bottle Ever - SureShot,Gadgets,Technology,CAD,2015-03-07,25000.0,2015-02-05 16:57:21,3.0,0,3,CA,2.41,2.36,19632.48,29,2,1,3,1,16,33,6,0,True,1.0,CA,0.75,2.25
1000413719,Backroads EP Processing Costs,Electronic Music,Music,USD,2012-10-26,200.0,2012-10-11 23:32:24,274.05,1,14,US,274.05,274.05,200.0,14,10,4,10,4,23,29,4,0,True,19.575,US,1.0,274.05
1000415969,Disaster Area: A Podcast,Radio & Podcasts,Publishing,USD,2016-12-28,1000.0,2016-11-28 17:58:04,1055.0,1,19,US,0.0,1055.0,1000.0,29,11,4,12,4,17,24,4,0,True,55.526315789473685,US,1.0,1055.0
1000428719,"""Eat Like A Gilmore"" Cookbook",Cookbooks,Food,USD,2016-04-17,20000.0,2016-03-14 12:39:29,47273.0,1,1261,US,47273.0,47273.0,20000.0,33,3,1,4,2,12,29,5,0,True,37.488501189532116,US,1.0,47273.0
1000450327,Happy Fix USA,Apparel,Fashion,USD,2014-10-01,1750.0,2014-08-17 17:06:42,1805.0,1,25,US,1805.0,1805.0,1750.0,44,8,3,10,4,17,13,3,0,True,72.2,US,1.0,1805.0
1000481607,Alpha Omega E.P.,Metal,Music,USD,2016-09-30,1000.0,2016-09-05 22:34:26,472.0,0,13,US,0.0,472.0,1000.0,24,9,3,9,3,22,16,3,0,True,36.30769230769231,US,1.0,472.0
1000491057,AllThis TV,Comedy,Film & Video,USD,2017-04-09,50000.0,2017-03-10 01:12:32,40.0,0,3,US,20.0,40.0,50000.0,29,3,1,4,2,1,10,2,0,True,13.333333333333334,US,1.0,40.0
1000491830,The Legendary YD 2016 Tour,Hip-Hop,Music,USD,2016-05-18,6325.0,2016-03-19 21:51:03,10.0,0,2,US,10.0,10.0,6325.0,59,3,1,5,2,21,26,5,0,True,5.0,US,1.0,10.0
1000509854,"Jane Brown... a story of courage, survival and love",Periodicals,Publishing,USD,2011-12-31,25000.0,2011-10-31 23:01:57,0.0,0,0,US,0.0,0.0,25000.0,60,10,4,12,4,23,51,9,0,False,0.0,US,1.0,0.0
100051531,Cat - Pre-Professional Ballerina,Dance,Dance,USD,2014-10-06,3400.0,2014-08-07 13:24:34,0.0,0,0,US,0.0,0.0,3400.0,59,8,3,10,4,13,32,4,0,False,0.0,US,1.0,0.0
1000535116,Xi3: Help us Usher in the Post-PC Era,Technology,Technology,USD,2012-10-28,250000.0,2012-09-28 09:33:59,90771.0,0,120,US,90771.0,90771.0,250000.0,29,9,3,10,4,9,37,8,0,True,756.425,US,1.0,90771.0
1000543883,Store Facades - Paintings out of Pittsburgh,Painting,Art,USD,2013-03-30,800.0,2013-02-28 03:02:09,1062.57,1,20,US,1062.57,1062.57,800.0,29,2,1,3,1,3,43,7,0,True,53.128499999999995,US,1.0,1062.57
1000567557,The Seven Rays,World Music,Music,USD,2012-04-09,3000.0,2012-02-24 02:52:41,260.0,0,8,US,260.0,260.0,3000.0,44,2,1,4,2,2,14,3,0,True,32.5,US,1.0,260.0
1000577059,Calendars for Cats,Photobooks,Photography,USD,2015-12-29,1000.0,2015-11-29 14:56:30,95.0,0,3,US,95.0,95.0,1000.0,29,11,4,12,4,14,18,3,0,True,31.666666666666668,US,1.0,95.0
10005784,DOGMA - Short Film,Drama,Film & Video,GBP,2015-03-20,750.0,2015-03-06 15:13:20,756.0,1,15,GB,1153.31,1122.89,1113.98,13,3,1,3,1,15,18,4,0,True,50.4,GB,1.26,952.5600000000001
1000581804,Architecture & Design Website,Architecture,Design,GBP,2014-09-28,500.0,2014-08-29 19:47:50,0.0,0,0,GB,0.0,0.0,803.32,29,8,3,9,3,19,29,4,0,False,0.0,GB,1.26,0.0
1000600012,YA science-fiction/comedy book series: Zeek Kim'lo,Young Adult,Publishing,GBP,2016-06-16,10000.0,2016-05-17 01:05:02,1.0,0,1,GB,1.44,1.43,14287.14,29,5,2,6,2,1,50,6,0,True,1.0,GB,1.26,1.26
1000600868,Musical stage (escenario musical),Latin,Music,MXN,2017-04-17,18000.0,2017-03-03 22:34:24,10.0,0,1,MX,0.0,0.53,955.82,44,3,1,4,2,22,33,4,0,True,10.0,MX,0.052,0.52
1000620551,Islamic World - Strategic gaming with Islamic values,Mobile Games,Games,GBP,2014-08-19,1925.0,2014-07-20 12:52:57,293.0,0,5,GB,500.63,485.72,3191.15,29,7,3,8,3,12,52,8,0,True,58.6,GB,1.26,369.18
1000624031,Hangar 1 Foundation,Flight,Technology,USD,2014-10-18,8500.0,2014-09-03 19:40:43,1355.0,0,4,US,1355.0,1355.0,8500.0,44,9,3,10,4,19,19,3,0,True,338.75,US,1.0,1355.0
1000638156,Jenny's Photography - Start own business and travel!!,Fine Art,Photography,GBP,2014-08-29,500.0,2014-07-30 18:14:06,10.0,0,1,GB,16.98,16.58,829.12,29,7,3,8,3,18,53,8,2,True,10.0,GB,1.26,12.6
1000644119,Operación Douve,Action,Film & Video,EUR,2016-05-01,100.0,2016-03-02 19:09:05,20.0,0,2,ES,21.77,22.85,114.27,59,3,1,5,2,19,15,2,0,True,10.0,LU,1.12,22.400000000000002
1000650960,"Crap Amidst Hilarity, vol. 1",Playing Cards,Games,USD,2016-03-22,7500.0,2016-01-22 01:36:45,942.25,0,55,US,942.25,942.25,7500.0,59,1,1,3,1,1,28,5,0,True,17.131818181818183,US,1.0,942.25
1000656794,VoxCube - 8x8x8 RGB LED chainable cubes,Makerspaces,Technology,AUD,2016-04-01,129000.0,2016-03-02 00:15:02,11601.5,0,32,AU,8267.42,8910.52,99078.34,29,3,1,4,2,0,39,7,0,True,362.546875,AU,0.69,8005.034999999999
1000659557,New world disorder,Punk,Music,USD,2016-07-05,5000.0,2016-06-05 18:46:18,0.0,0,0,US,0.0,0.0,5000.0,29,6,2,7,3,18,18,3,0,False,0.0,US,1.0,0.0
1000770149,Worrisome Wilf's Beastly Bedtime,Children's Books,Publishing,GBP,2013-06-12,5500.0,2013-05-13 13:59:23,5721.0,1,140,GB,8787.83,8937.95,8592.68,29,5,2,6,2,13,32,4,0,True,40.864285714285714,GB,1.26,7208.46
100078996,APP - CUSTOM SHOES/ Calzado Personalizado - MADAME MARIAN,Apps,Technology,MXN,2016-12-21,55000.0,2016-11-19 04:05:23,56680.0,1,24,MX,2.45,2739.22,2658.03,31,11,4,12,4,4,57,9,0,True,2361.6666666666665,MX,0.052,2947.3599999999997
1000804742,The Chelsea Chronicle Podcast,Audio,Journalism,GBP,2017-02-24,10000.0,2017-01-25 16:21:21,337.5,0,15,GB,115.05,423.72,12554.61,29,1,1,2,1,16,29,4,0,True,22.5,GB,1.26,425.25
1000916036,Conference Paradigm Shift Meeting #3,Performance Art,Art,EUR,2017-12-13,700.0,2017-10-14 08:25:55,85.0,0,4,FR,88.86,100.35,826.42,59,10,4,12,4,8,36,5,0,True,21.25,IE,1.12,95.2
1000968500,Modern Handmade Ceramics: Paper & Clay,Ceramics,Art,USD,2013-05-24,3000.0,2013-05-10 04:48:33,4386.0,1,94,US,4386.0,4386.0,3000.0,13,5,2,5,2,4,38,6,0,True,46.659574468085104,US,1.0,4386.0
1000988864,"Alaska Bug Bites, LLC - Farmers Markets Launch",Vegan,Food,USD,2017-04-01,2000.0,2017-02-22 18:32:07,2164.77,1,52,US,525.0,2164.77,2000.0,37,2,1,4,2,18,46,8,0,True,41.630192307692305,US,1.0,2164.77
1001052357,Spilt Milk,Graphic Novels,Comics,AUD,2017-01-08,18000.0,2016-12-09 04:00:31,832.0,0,23,AU,375.22,623.55,13490.22,29,12,4,1,1,4,10,2,0,True,36.17391304347826,AU,0.69,574.0799999999999
1001077166,Student Operated Fabrication Lab,Fabrication Tools,Technology,USD,2012-07-11,5000.0,2012-06-11 13:55:42,5000.0,1,57,US,5000.0,5000.0,5000.0,29,6,2,7,3,13,32,4,0,True,87.71929824561404,US,1.0,5000.0
1001126692,Pole Diversity: A Showcase of Acrobatic Dance (Part Two),Performances,Dance,USD,2015-09-19,450.0,2015-08-19 21:02:03,160.0,0,4,US,160.0,160.0,450.0,30,8,3,9,3,21,56,9,0,True,40.0,US,1.0,160.0
1001136944,Open Fiesta Arts Store dreaming big in San Antonio,Sculpture,Art,USD,2016-03-05,5000.0,2016-01-20 00:50:26,52.0,0,4,US,52.0,52.0,5000.0,44,1,1,3,1,0,50,9,0,True,13.0,US,1.0,52.0
1001265769,XPUMP | TURN ANY SOUND SOURCE INTO A HOME THEATER EXPERIENCE,Sound,Technology,USD,2016-10-21,25000.0,2016-09-06 10:00:03,227673.0,1,2278,US,16679.0,227673.0,25000.0,44,9,3,10,4,10,60,11,0,True,99.94424934152765,US,1.0,227673.0
1001304256,FINAL HOURS!!! Kira Kira Rainbow Unicorn Stickers!,Stationery,Crafts,AUD,2016-01-17,250.0,2016-01-02 09:03:53,1009.0,1,39,AU,734.39,709.07,175.69,14,1,1,1,1,9,50,7,4,True,25.871794871794872,AU,0.69,696.2099999999999
1001347176,The Book of Maxwell,Print,Journalism,USD,2017-08-07,1500.0,2017-07-12 23:47:37,1804.0,1,33,US,500.0,1804.0,1500.0,25,7,3,8,3,23,19,4,0,True,54.666666666666664,US,1.0,1804.0
1001352451,The Great Apple Pie,Farmer's Markets,Food,CAD,2014-08-15,15.0,2014-07-16 05:03:30,6.0,0,2,CA,5.59,5.5,13.76,29,7,3,8,3,5,19,4,0,True,3.0,CA,0.75,4.5
1001366443,SEVEN DEVILS - Feature Film,Thrillers,Film & Video,USD,2017-05-12,7000.0,2017-03-13 08:36:48,810.0,0,10,US,0.0,810.0,7000.0,59,3,1,5,2,8,27,5,0,True,81.0,US,1.0,810.0
1001432466,The Great Fly Cup Bake Off,Events,Food,GBP,2015-09-08,250.0,2015-08-09 20:29:42,340.0,1,17,GB,526.83,524.38,385.58,29,8,3,9,3,20,26,6,0,True,20.0,GB,1.26,428.4
100147142,Betul Soykan Records Joaquin Turina Violin Works CD Project,Classical Music,Music,USD,2014-09-24,2250.0,2014-08-25 02:33:39,40.0,0,4,US,40.0,40.0,2250.0,29,8,3,9,3,2,59,9,0,True,10.0,US,1.0,40.0
1001529854,Billion Dollar Project,Graphic Design,Design,AUD,2016-01-16,200.0,2015-12-17 10:38:26,0.0,0,0,AU,0.0,0.0,140.55,29,12,4,1,1,10,22,3,0,False,0.0,AU,0.69,0.0
1001578248,WOOD FIRED OVEN FOR OUR GROWING COMMUNITY,Spaces,Food,EUR,2015-11-21,20000.0,2015-10-22 23:10:38,185.0,0,9,IT,210.14,195.73,21159.99,29,10,4,11,4,23,41,7,0,True,20.555555555555557,IE,1.12,207.20000000000002
1001656127,"Country Christian album titled ""I Believe""",Country & Folk,Music,USD,2013-11-13,5000.0,2013-10-28 16:41:11,140.0,0,4,US,140.0,140.0,5000.0,15,10,4,11,4,16,42,6,0,True,35.0,US,1.0,140.0
1001689284,STEER: A Wearable Device That Can Save Your Life,Wearables,Technology,EUR,2017-07-31,5000.0,2017-07-20 16:11:56,32374.0,1,287,IE,3253.95,38421.55,5934.01,10,7,3,7,3,16,48,9,0,True,112.80139372822299,IE,1.12,36258.880000000005
1001857288,Occupy the Left Forum Zine,Journalism,Journalism,USD,2012-04-12,1287.0,2012-03-13 01:45:25,227.0,0,9,US,227.0,227.0,1287.0,29,3,1,4,2,1,26,5,0,True,25.22222222222222,US,1.0,227.0
1001988165,StoryBox - What will you make today?,Mixed Media,Art,USD,2014-02-06,3000.0,2014-01-07 14:46:31,1189.0,0,29,US,1189.0,1189.0,3000.0,29,1,1,2,1,14,36,7,1,True,41.0,US,1.0,1189.0
1001994928,Screening of Mr Turner,Movie Theaters,Film & Video,GBP,2015-03-15,175.0,2015-01-31 11:38:54,41.0,0,5,GB,61.79,60.9,259.93,42,1,1,3,1,11,22,4,0,True,8.2,GB,1.26,51.660000000000004
1002085616,Bailey the Golden Retriever Calendar,Animals,Photography,USD,2014-12-11,3000.0,2014-11-25 20:56:19,797.0,0,27,US,797.0,797.0,3000.0,15,11,4,12,4,20,36,5,0,True,29.51851851851852,US,1.0,797.0
100212057,Jazz Funeral For Coney Island,Digital Art,Art,USD,2011-02-19,3000.0,2011-01-20 14:40:37,3005.33,1,46,US,3005.33,3005.33,3000.0,29,1,1,2,1,14,29,5,0,True,65.33326086956522,US,1.0,3005.33
100224840,Flutter & Flow Knitting Book,Knitting,Crafts,USD,2017-03-01,2000.0,2017-02-13 16:42:14,2025.0,1,38,US,80.0,2025.0,2000.0,15,2,1,3,1,16,28,5,0,True,53.28947368421053,US,1.0,2025.0
100230798,The Structure,Installations,Art,USD,2015-03-19,1000.0,2015-02-17 12:07:49,0.0,0,0,US,0.0,0.0,1000.0,29,2,1,3,1,12,13,2,0,False,0.0,US,1.0,0.0
1002418598,To Develop A New Worlds Hottest Chilli.,Community Gardens,Food,AUD,2015-10-29,900.0,2015-09-29 12:02:16,55.0,0,4,AU,38.67,38.98,637.89,29,9,3,10,4,12,39,7,0,True,13.75,AU,0.69,37.949999999999996
1002453633,Esquilo: Simple IoT Development - WiFi + Web IDE + Cloud,DIY Electronics,Technology,USD,2015-06-10,10000.0,2015-05-11 15:52:34,23447.0,1,298,US,23447.0,23447.0,10000.0,29,5,2,6,2,15,56,11,0,True,78.68120805369128,US,1.0,23447.0
1002522073,Lampenschirme und Objekte aus französischer Handarbeit,Embroidery,Crafts,EUR,2016-12-31,3500.0,2016-12-01 20:39:18,31.0,0,2,AT,0.0,32.83,3706.14,29,12,4,12,4,20,54,6,0,True,15.5,LU,1.12,34.720000000000006
1002721954,Phochron XA Film Camera Shutter Speed Tester,Camera Equipment,Technology,USD,2016-11-17,8500.0,2016-10-18 22:40:38,16998.0,1,135,US,9699.0,16998.0,8500.0,29,10,4,11,4,22,44,7,0,True,125.91111111111111,US,1.0,16998.0
1002734991,Nice Set of Shells~~ Handmade Seashell Jewelry,Jewelry,Fashion,USD,2017-10-21,500.0,2017-09-21 02:28:35,145.0,0,3,US,100.0,145.0,500.0,29,9,3,10,4,2,46,7,0,True,48.333333333333336,US,1.0,145.0
1002745522,Barry County Milk,Farms,Food,USD,2014-09-21,500000.0,2014-08-12 17:50:08,5.0,0,1,US,5.0,5.0,500000.0,39,8,3,9,3,17,17,3,0,True,5.0,US,1.0,5.0
100281397,Dragonfly,Conceptual Art,Art,CAD,2015-12-26,49786.0,2015-11-26 20:55:07,0.0,0,0,CA,0.0,0.0,35858.54,29,11,4,12,4,20,9,1,0,False,0.0,CA,0.75,0.0
1002854457,FOLLOW ME - HELP US GET BARNEY,Fantasy,Film & Video,USD,2015-04-01,3000.0,2015-03-02 00:25:20,50.0,0,1,US,50.0,50.0,3000.0,29,3,1,4,2,0,30,7,0,True,50.0,US,1.0,50.0
1002886944,Phrenic's Interactive Comic & Alternate Reality Game,Webcomics,Comics,USD,2014-11-12,15000.0,2014-10-13 09:01:33,1356.0,0,27,US,1356.0,1356.0,15000.0,29,10,4,11,4,9,52,7,0,True,50.22222222222222,US,1.0,1356.0
1002904556,The Dead of Night,Horror,Film & Video,USD,2017-06-24,3500.0,2017-05-22 16:55:28,1.0,0,1,US,0.0,1.0,3500.0,32,5,2,6,2,16,17,4,0,True,1.0,US,1.0,1.0
1002914380,Dos Pueblos Tecnicos,Experimental,Theater,USD,2014-09-02,500.0,2014-08-23 02:09:32,500.0,1,6,US,500.0,500.0,500.0,9,8,3,9,3,2,20,3,0,True,83.33333333333333,US,1.0,500.0
1002959927,DOCTOR WHO: THE MENACE OF FOONF,Science Fiction,Film & Video,USD,2017-09-09,700.0,2017-07-26 01:17:26,796.0,1,14,US,0.0,796.0,700.0,44,7,3,9,3,1,31,6,0,True,56.857142857142854,US,1.0,796.0
1002965096,Bird's Eye View 1892 Map of Atlanta - 1000 Piece Puzzle,Puzzles,Games,USD,2016-09-15,1000.0,2016-08-15 02:33:22,3388.0,1,126,US,1444.0,3388.0,1000.0,30,8,3,9,3,2,55,11,0,True,26.88888888888889,US,1.0,3388.0
1002966619,The Prelude to the Conversation,R&B,Music,USD,2014-09-29,2000.0,2014-08-25 18:59:22,160.0,0,7,US,160.0,160.0,2000.0,34,8,3,9,3,18,31,5,0,True,22.857142857142858,US,1.0,160.0
